Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
20.0,0.4379947229551452,0.6059322033898306,0.0,0.13263888888888892,0.8936170212765958,8.0,0.17117117117117114,9.0,10.0,0.2753623188405797,0.14473684210526316,0.4947368421052632,0.22222222222222224,0.5160714285714292,0.471223021582734,0.475,0.1111111111111111,0.47136563876651977,0.6097046413502109,0.0,0
32.0,0.2928759894459103,0.4533898305084745,0.0,0.034722222222222224,0.652482269503546,4.0,0.11711711711711711,17.0,7.0,0.0,0.11842105263157894,0.8736842105263158,0.4545454545454546,0.7696428571428591,0.7464028776978431,0.125,0.1111111111111111,0.33039647577092507,0.47468354430379744,0.0,0
17.0,0.2189973614775726,0.39618644067796605,0.0,0.07291666666666667,0.4283687943262412,6.0,0.05405405405405406,16.0,3.0,0.028985507246376812,0.09210526315789473,0.9789473684210526,0.6363636363636365,0.6160714285714306,0.6276978417266186,0.625,0.6444444444444444,0.20925110132158586,0.4240506329113924,0.0,0
20.0,0.5408970976253299,0.7394067796610169,0.0,0.1527777777777778,0.9645390070921986,12.0,0.1891891891891892,9.0,11.0,0.13043478260869565,0.19736842105263158,0.6000000000000001,0.20202020202020202,0.5321428571428584,0.5125899280575545,0.0,0.0,0.5881057268722466,0.7341772151898734,0.0,0
32.0,0.4379947229551452,0.5444915254237288,0.0,0.045138888888888895,0.6666666666666667,4.0,0.19819819819819817,4.0,16.0,0.2463768115942029,0.22368421052631576,0.5368421052631578,0.35353535353535354,0.6374999999999993,0.6205035971223012,0.125,0.3333333333333333,0.42070484581497797,0.5569620253164557,0.0,0
21.0,0.5936675461741425,0.6567796610169492,0.14532374100719425,0.09930555555555556,0.6524822695035462,12.0,0.15315315315315314,1.0,16.0,0.15942028985507248,0.19736842105263158,0.894736842105263,0.393939393939394,0.5749999999999993,0.5593525179856123,0.375,0.4,0.5462555066079294,0.6877637130801688,1.0,0
5.0,0.453825857519789,0.375,0.0,0.0795138888888889,0.7617021276595746,3.0,0.45045045045045046,5.0,6.0,0.34782608695652173,0.3684210526315789,0.8,0.8383838383838385,0.31428571428571317,0.3219424460431668,1.0,0.8888888888888888,0.3766519823788546,0.3586497890295358,0.0,1
6.0,0.3799472295514512,0.298728813559322,0.10071942446043167,0.010416666666666666,0.6609929078014185,6.0,0.19819819819819817,7.0,3.0,0.2463768115942029,0.17105263157894735,0.9578947368421054,0.7777777777777779,0.6142857142857139,0.6438848920863336,0.875,0.7777777777777777,0.2863436123348017,0.3291139240506329,1.0,0
37.0,0.6728232189973615,0.5614406779661016,0.012949640287769786,0.17708333333333334,0.7163120567375887,17.0,0.2882882882882883,8.0,0.0,0.057971014492753624,0.3157894736842105,0.6736842105263159,0.6060606060606062,0.5017857142857167,0.46582733812949684,0.25,0.0,0.5859030837004404,0.580168776371308,1.0,0
48.0,0.4670184696569921,0.4258474576271186,0.0008633093525179858,0.14652777777777776,0.5390070921985817,12.0,0.09909909909909909,15.0,9.0,0.028985507246376812,0.09210526315789473,0.6631578947368422,0.6666666666666667,0.7696428571428591,0.7895683453237403,0.6,0.1111111111111111,0.47136563876651977,0.4535864978902953,0.0,0
22.0,0.5857519788918206,0.49152542372881347,0.0014388489208633096,0.2465277777777778,0.5177304964539007,14.0,0.5405405405405406,14.0,16.0,0.34782608695652173,0.40789473684210525,0.631578947368421,0.47474747474747475,0.4803571428571445,0.5431654676259008,0.875,0.5555555555555556,0.5110132158590308,0.46624472573839665,0.0,0
